Item,Closed,Pending,Resolved,Assigned,WIP,Total
Post-Paid Invoice Payment,8,0,0,0,0,8
Deposit - wrong amount,8,0,0,0,0,8
Data bundle – Daily offers,8,0,0,0,0,8
Explicador84,8,0,0,0,0,8
More than 5 numbers,8,0,0,0,0,8
Airtime Reallocation,8,0,0,0,0,8
Credelec Token rejected,8,0,0,0,0,8
Authorized Transfer M-Pesa To Bank,7,0,0,0,0,7
Authorised – Transfer Customer to Customer,7,0,0,0,0,7
Contract - Renewal,6,0,0,1,0,7
Feliz Aniversário com Bónus,7,0,0,0,0,7
4G,7,0,0,0,0,7
So Pra ti Social,7,0,0,0,0,7
Itel A23,7,0,0,0,0,7
MSISDN desactivado – Informação,7,0,0,0,0,7
Due Date debit Queries,7,0,0,0,0,7
Main Account – Hungama,7,0,0,0,0,7
3G calls,7,0,0,0,0,7
M-Pesa Amount Not Received,6,0,0,0,0,6
M-Pesa Change Pin,5,0,0,1,0,6
Simulation,6,0,0,0,0,6
International Roaming,6,0,0,0,0,6
Contract Cancellation Request,4,0,0,1,1,6
Authorized Transfer Bank To M-Pesa,6,0,0,0,0,6
Internet speed selection,6,0,0,0,0,6
Platina Cash Back - Pacote mensal,4,0,0,2,0,6
Main Account – VuClip,6,0,0,0,0,6
Data Counters,6,0,0,0,0,6
Hungama - Cancelar a subscrição,6,0,0,0,0,6
Float Allocation,0,0,0,6,0,6
Congratulate Vodacom,5,0,0,1,0,6
Pedido de Cancelamento,6,0,0,0,0,6
Tarifa por segundo,6,0,0,0,0,6
Agent First Deposit,4,0,0,2,0,6
DSTv Payments,6,0,0,0,0,6
Voucher Automatic Reversal below 100MT,6,0,0,0,0,6
Número inválido,6,0,0,0,0,6
Transfer from M-Pesa to MKesh,6,0,0,0,0,6
Menu not available,5,0,0,1,0,6
M-Pesa USSD,6,0,0,0,0,6
Fraud Customer to Agent,2,0,0,3,0,5
SIM Swap Doc. out of date,5,0,0,0,0,5
Wrong debit,5,0,0,0,0,5
Ofertas Top 1000,5,0,0,0,0,5
Alerta de Chamada Perdida,5,0,0,0,0,5
Main Account  - Toke d’Bola,5,0,0,0,0,5
Vlive Desporto,5,0,0,0,0,5
PlayInc - Cancelamento,5,0,0,0,0,5
Voucher Reversal - Used money,5,0,0,0,0,5
Frases de Amor,4,0,0,1,0,5
SIM SWAP Validation Successful,5,0,0,0,0,5
Cannot use USSD code,5,0,0,0,0,5
MSISDN Swap keep Prepaid,4,0,0,0,1,5
Stolen Till,5,0,0,0,0,5
Oferta de Internet Semanal,4,0,0,1,0,5
Transfer from M-pesa to float account,5,0,0,0,0,5
Bom Papo,5,0,0,0,0,5
Payment -Cash,5,0,0,0,0,5
Transaction Reversal - Buy Airtime,5,0,0,0,0,5
Activation,0,0,0,5,0,5
Deposit Cash Reversal - Used money,4,0,0,0,0,4
Batch Allocated,4,0,0,0,0,4
Subscriber Update - Direct Debit,4,0,0,0,0,4
Denúncias do INCM,2,0,0,2,0,4
More than 5 numbers & Registration,3,0,0,1,0,4
Turno da noite,4,0,0,0,0,4
Recycle Request,2,0,0,2,0,4
Troca de cartões-4.5G,4,0,0,0,0,4
Requisitos,3,0,0,1,0,4
Calls (Receive / Make),4,0,0,0,0,4
Main Account – Frases de Amor,4,0,0,0,0,4
VuClip,4,0,0,0,0,4
Transferência de Megas,4,0,0,0,0,4
